Address,Total Rewards,Blocks mined,Cumulative Mined,Sqrt Mined,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qznVVeqLCFGbSAhuX44djxRgjxMtVvAsRbNvcmorDAr7izyfW,,22,"956,940",4.69,"8,546.61",0.06%,0.00,,
qzjtJj2KQeCYrwqav8uj8WyA3waFxTTf3KMq7kxH12M8YZ6Db,,21,"956,961",4.58,"8,551.19",0.06%,0.00,,
qzkwCS3Upayzo7w7r4pHBfvXpR4N4Rn2HjPGFafTidRsqabwT,,20,"956,981",4.47,"8,555.66",0.06%,0.00,,
qzmeNN3Ut3nbzMTgUyqZZQFLUMboNtregUYS1y8JXB5P26UQ7,,18,"956,999",4.24,"8,559.90",0.05%,0.00,,
qzoFcKVewDKGFMbGVkXNrNoPU4kWw7j67pDjYs9EM3z1o3iN7,,16,"957,015",4.00,"8,563.90",0.05%,0.00,,
qzoHLnyZgjfLnGsFnP9uSEL2gMZZDFzkimQyrxm88Z4aw2K97,,16,"957,031",4.00,"8,567.90",0.05%,0.00,,
qzpRWSWuWhpsFKyu25XS9VGroZGvntCERUg6TbpF6Ra562nsJ,,16,"957,047",4.00,"8,571.90",0.05%,0.00,,
qzkUuwqEMxxGSwfZyrnYveXiMufyMrCsiBzqq8ziGAWcnfU2b,,15,"957,062",3.87,"8,575.78",0.05%,0.00,,
qznYt31QkD9wxRfSu1rDBR8qEvr5NyxKTWmYpYtAXCsE1YsCq,,15,"957,077",3.87,"8,579.65",0.05%,0.00,,
qzpMoKSt7cD5xQAqAeHk3ezq2t7JCZG3EVFzvHEtXqn5eHn7E,,15,"957,092",3.87,"8,583.52",0.05%,0.00,,
qzpA91p9XtvsWLSVufXABgBJded89385xDw7DdGQi7uJcH8ce,,12,"957,104",3.46,"8,586.99",0.04%,0.00,,
qzjgL9qpt1QiDQQ1mh2Wkj1YJqs8H4SdYJReuQzTcgwu1aFF6,,10,"957,114",3.16,"8,590.15",0.04%,0.00,,
qzoT2pMfp35nzuQDanx1D81eCv6LoKSu8i7vSHRXHQxgLTccR,,10,"957,124",3.16,"8,593.31",0.04%,0.00,,
qzpqxLHBnWSit8tPB4pWqr5f1R6dVGrbGaxFkj48gXPRzqA9C,,9,"957,133",3.00,"8,596.31",0.04%,0.00,,
qzoL8QqWzpJhSkRfK59FYrKtcsfNUxQ9tXEQWtznKAn64xpje,,8,"957,141",2.83,"8,599.14",0.04%,0.00,,
qzpTdiu1jfTHPVqif1b5Vu6GDqUuy81Jxm76oiNQ16f5KZkBQ,,8,"957,149",2.83,"8,601.97",0.04%,0.00,,
qzjaWjqE8uocSjv7RaiGRbTeCi9APoHrwPGMS7vPnMtDiuEZ8,,7,"957,156",2.65,"8,604.61",0.03%,0.00,,
qzpcRZmNX4suvzHRWcwbj2kqtGrgxTP8n8cPvQYDswsL1Hrtj,,7,"957,163",2.65,"8,607.26",0.03%,0.00,,
qzputQrk7ZUQkGNRXBNCCDxrdb8ACQq8xqWrEy433bv3f6CVt,,7,"957,170",2.65,"8,609.90",0.03%,0.00,,
qzjwF7pKyWfBcurxx5qtEB7UZyzTrYJvud1BfnamLb6grQX4p,,5,"957,175",2.24,"8,612.14",0.03%,0.00,,
qzkjVnqExQRK3SLndRbfi1GT4VdHuroZLeZuuKwnRuAhdmJpg,,5,"957,180",2.24,"8,614.38",0.03%,0.00,,
qzm8wqeZgZm7HGYvPFMA8VmgcZq42EVss81H3pRVm7nFcB4An,,4,"957,184",2.00,"8,616.38",0.02%,0.00,,
qznA4vcMujFgJdog7CxMsiAhKBr5QdhJh6G2sg6zFkp68oPjJ,,4,"957,188",2.00,"8,618.38",0.02%,0.00,,
qzpZMCYUGWX8WC1Fxta3wS9Dm1rGTGbEPHZRtgLmfkeMZqamT,,4,"957,192",2.00,"8,620.38",0.02%,0.00,,
qzk8LDsLdUAiCm9sd3nTu444FYhHf2Ho7PUPZLowycRUUru86,,3,"957,195",1.73,"8,622.11",0.02%,0.00,,
qzkEd1jkBkoYCnpYkxdwBWfzizVV2txTNtFaZFaKPo86fZkUq,,3,"957,198",1.73,"8,623.84",0.02%,0.00,,
qzkHaujm7Y69xc1nd5aMVT7JrTjjX61PQBmtaiNG5849vdQc3,,3,"957,201",1.73,"8,625.57",0.02%,0.00,,
qznKrw41msVGkP5VCCBVxzgzTwXVYtiSPMg5ky2re6VF7MLTE,,3,"957,204",1.73,"8,627.31",0.02%,0.00,,
qznbtSyvbBezyRyo3P2E3t5aN5pGS36k2wyaYM3SsBX5J4t3v,,3,"957,207",1.73,"8,629.04",0.02%,0.00,,
qzndN6KuuwErhK1SHud86KiC9yN16KqNbZj67ZbN3Jbdr4Y8H,,3,"957,210",1.73,"8,630.77",0.02%,0.00,,
qzpcj5GQKCTrDj5rJEJQoiQqYtMpui3u87TzWreBNtvtDP1F2,,3,"957,213",1.73,"8,632.50",0.02%,0.00,,
qzpxKxU9R9Wr1PTtaby6vw7EPoTxQTShPKmWJWAv3aLrmU7wV,,3,"957,216",1.73,"8,634.23",0.02%,0.00,,
qzjpNsNa4ieb8x4i7CixThW6wZE981K9WeLkangcND2mbzJ9d,,2,"957,218",1.41,"8,635.65",0.02%,0.00,,
qzk7RfwAxPHAczVqzajyt7upzMLi5UJ85uqaC8eWch3dpQCN9,,2,"957,220",1.41,"8,637.06",0.02%,0.00,,
qzmBrewm56oZiQgotE4UKPJohDkneGdBDwH9q36rYmagEwdjj,,2,"957,222",1.41,"8,638.48",0.02%,0.00,,
qznokNSfTTmbQFxdMgZAi18oZa4LAFg9p5ENdQqiQHb8Jzxvg,,2,"957,224",1.41,"8,639.89",0.02%,0.00,,
qzo1VJSvmRHa547Gamx4HoQT9JeBrgFRTUWghAZWfHqeky1Yq,,2,"957,226",1.41,"8,641.30",0.02%,0.00,,
qzo87ZwuKz13ayPzDFQcdzpRK8gArkTWdG7dx3yKQgLxkC4kG,,2,"957,228",1.41,"8,642.72",0.02%,0.00,,
qzpEYGQmZ3t6Wovy6eXXiRBAXDvSry5vqGZWP7QhyDsMECNps,,2,"957,230",1.41,"8,644.13",0.02%,0.00,,
qzjpv7vUsyBD6qFu4qu8M4beoDdMf242Kqaobz2TJWK6KQSnv,,1,"957,231",1.00,"8,645.13",0.01%,0.00,,
qzkMjWpxw1zq3dABct4xCpJjJUdVidoUvpJXAfKaYQqt1ZHex,,1,"957,232",1.00,"8,646.13",0.01%,0.00,,
qzkSDCHg2H2neFHNijk6y83Nk7eufKALeu6eLgxp1knVyeb2h,,1,"957,233",1.00,"8,647.13",0.01%,0.00,,
qzkwZ8y7TXR8hw4dKsng9YqypR6buTfFtN6y7NRkDgyf6KujU,,1,"957,234",1.00,"8,648.13",0.01%,0.00,,
qzmB4sirTy9SbtjG61DvNY5yiW8px9XLHGxo6f9MSLiWyp913,,1,"957,235",1.00,"8,649.13",0.01%,0.00,,
qznE1MGLKBzbHnnndbEQ6xSn3XkjMQzyRF6Rm5mrd5mhQN1hT,,1,"957,236",1.00,"8,650.13",0.01%,0.00,,
qzp9Wa6EYVMv8fNY2BbegmGAJsP4N3wteqbUF8sgLqkRCSdtj,,1,"957,237",1.00,"8,651.13",0.01%,0.00,,
qzpZjBNMYfBMDTQSwP65S5L5q2ZfDZkJLvuH7P8chuN2Xx5X5,,1,"957,238",1.00,"8,652.13",0.01%,0.00,,
qzq2XqBesLK7NjPmqputmf7SRuYW7RPL6UCZZAHUYcZc7kbUy,,1,"957,239",1.00,"8,653.13",0.01%,0.00,,
qzq591f2rJ7fpf1HCamPdsCDyY7fVhGffMvQXEeWkKbGsrpvn,,1,"957,240",1.00,"8,654.13",0.01%,0.00,,
,,"957,240",,,,0.00%,0.00,,
